"","1 Years","2 Years","3 Years","2019-04-2023-01"
"Annualized Returns",,,,
"2019-04-02_to_2023-01-13_Index_7QRank","-4.715","5.319","5.423","6.949"
"2019-04-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","6.144"
"Volatility",,,,
"2019-04-02_to_2023-01-13_Index_7QRank","17.44","14","18.16","16.52"
"2019-04-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","15.65"
"Tracking Error",,,,
"2019-04-02_to_2023-01-13_Index_7QRank","5.03","4.99","6.77","6.47"
"2019-04-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Information Ratio",,,,
"2019-04-02_to_2023-01-13_Index_7QRank","0.35","-0.26","-0.04","0.12"
"2019-04-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Alpha Stat",,,,
"2019-04-02_to_2023-01-13_Index_7QRank","0.2","-0.14","-0.04","0.07"
"2019-04-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Beta Stat",,,,
"2019-04-02_to_2023-01-13_Index_7QRank","1","0.97","0.97","0.97"
"2019-04-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"R-Squared",,,,
"2019-04-02_to_2023-01-13_Index_7QRank","90.76","86.75","85.73","84.39"
"2019-04-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Max Drawdown",,,,
"2019-04-02_to_2023-01-13_Index_7QRank","-20.8103","-20.8103","-33.556","-33.556"
"2019-04-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265"
