"","2023-01-2022-01","2021-05-2023-01"
"Annualized Returns",,
"2021-05-02_to_2023-01-13_Index_7QRank","-0.121","4.629"
"2021-05-02_to_2023-01-13_TSX60_Index","-6.482","3.705"
"Volatility",,
"2021-05-02_to_2023-01-13_Index_7QRank","19.24","15.21"
"2021-05-02_to_2023-01-13_TSX60_Index","16.64","13.84"
"Tracking Error",,
"2021-05-02_to_2023-01-13_Index_7QRank","6.04","5.25"
"2021-05-02_to_2023-01-13_TSX60_Index","-","-"
"Information Ratio",,
"2021-05-02_to_2023-01-13_Index_7QRank","1.05","0.18"
"2021-05-02_to_2023-01-13_TSX60_Index","-","-"
"Alpha Stat",,
"2021-05-02_to_2023-01-13_Index_7QRank","0.81","0.13"
"2021-05-02_to_2023-01-13_TSX60_Index","-","-"
"Beta Stat",,
"2021-05-02_to_2023-01-13_Index_7QRank","1.1","1.03"
"2021-05-02_to_2023-01-13_TSX60_Index","-","-"
"R-Squared",,
"2021-05-02_to_2023-01-13_Index_7QRank","89.94","87.47"
"2021-05-02_to_2023-01-13_TSX60_Index","-","-"
"Max Drawdown",,
"2021-05-02_to_2023-01-13_Index_7QRank","-18.5172","-18.5172"
"2021-05-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766"
