"","1 Years","2 Years","3 Years","4 Years","2018-03-2023-01"
"Annualized Returns",,,,,
"2018-03-02_to_2023-01-13_Index_7QRank","1.333","9.633","9.955","12.921","12.028"
"2018-03-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","7.966","6.143"
"Volatility",,,,,
"2018-03-02_to_2023-01-13_Index_7QRank","19.09","14.33","18.96","16.7","16.68"
"2018-03-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","15.25","15.02"
"Tracking Error",,,,,
"2018-03-02_to_2023-01-13_Index_7QRank","7.23","6.1","8.89","8.2","7.88"
"2018-03-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2018-03-02_to_2023-01-13_Index_7QRank","1.08","0.5","0.48","0.6","0.75"
"2018-03-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2018-03-02_to_2023-01-13_Index_7QRank","0.85","0.22","0.36","0.39","0.47"
"2018-03-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2018-03-02_to_2023-01-13_Index_7QRank","1.06","0.96","0.97","0.95","0.98"
"2018-03-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2018-03-02_to_2023-01-13_Index_7QRank","84.41","81.11","77.43","75.51","77.28"
"2018-03-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2018-03-02_to_2023-01-13_Index_7QRank","-18.3124","-18.3124","-32.6728","-32.6728","-32.6728"
"2018-03-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
