"","1 Years","2 Years","2020-04-2023-01"
"Annualized Returns",,,
"2020-04-02_to_2023-01-13_Index_7QRank","2.491","14.637","30.915"
"2020-04-02_to_2023-01-13_TSX60_Index","-6.482","6.606","16.208"
"Volatility",,,
"2020-04-02_to_2023-01-13_Index_7QRank","22.44","17.43","16.73"
"2020-04-02_to_2023-01-13_TSX60_Index","16.64","13.46","13.51"
"Tracking Error",,,
"2020-04-02_to_2023-01-13_Index_7QRank","10.46","8.6","7.75"
"2020-04-02_to_2023-01-13_TSX60_Index","-","-","-"
"Information Ratio",,,
"2020-04-02_to_2023-01-13_Index_7QRank","0.86","0.93","1.9"
"2020-04-02_to_2023-01-13_TSX60_Index","-","-","-"
"Alpha Stat",,,
"2020-04-02_to_2023-01-13_Index_7QRank","1.22","0.62","0.8"
"2020-04-02_to_2023-01-13_TSX60_Index","-","-","-"
"Beta Stat",,,
"2020-04-02_to_2023-01-13_Index_7QRank","1.21","1.13","1.1"
"2020-04-02_to_2023-01-13_TSX60_Index","-","-","-"
"R-Squared",,,
"2020-04-02_to_2023-01-13_Index_7QRank","78.61","75.62","78.53"
"2020-04-02_to_2023-01-13_TSX60_Index","-","-","-"
"Max Drawdown",,,
"2020-04-02_to_2023-01-13_Index_7QRank","-21.937","-21.937","-21.937"
"2020-04-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-17.7766"
