"","1 Years","2 Years","3 Years","2020-01-2023-01"
"Annualized Returns",,,,
"2020-01-02_to_2023-01-13_Index_7QRank","-3.371","6.411","9.252","9.608"
"2020-01-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","6.033"
"Volatility",,,,
"2020-01-02_to_2023-01-13_Index_7QRank","20.5","15.44","19.49","19.49"
"2020-01-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","17.29"
"Tracking Error",,,,
"2020-01-02_to_2023-01-13_Index_7QRank","6.83","5.57","6.14","6.14"
"2020-01-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Information Ratio",,,,
"2020-01-02_to_2023-01-13_Index_7QRank","0.46","-0.04","0.58","0.58"
"2020-01-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Alpha Stat",,,,
"2020-01-02_to_2023-01-13_Index_7QRank","0.64","-0.1","0.29","0.29"
"2020-01-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Beta Stat",,,,
"2020-01-02_to_2023-01-13_Index_7QRank","1.17","1.07","1.07","1.07"
"2020-01-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"R-Squared",,,,
"2020-01-02_to_2023-01-13_Index_7QRank","89.89","86.77","90.18","90.18"
"2020-01-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Max Drawdown",,,,
"2020-01-02_to_2023-01-13_Index_7QRank","-20.4542","-20.4542","-33.6328","-33.6328"
"2020-01-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265"
