"","2023-01-2022-01","2021-03-2023-01"
"Annualized Returns",,
"2021-03-02_to_2023-01-13_Index_7QRank","1.767","9.295"
"2021-03-02_to_2023-01-13_TSX60_Index","-6.482","5.698"
"Volatility",,
"2021-03-02_to_2023-01-13_Index_7QRank","19.2","14.73"
"2021-03-02_to_2023-01-13_TSX60_Index","16.64","13.47"
"Tracking Error",,
"2021-03-02_to_2023-01-13_Index_7QRank","7.28","6.18"
"2021-03-02_to_2023-01-13_TSX60_Index","-","-"
"Information Ratio",,
"2021-03-02_to_2023-01-13_Index_7QRank","1.13","0.58"
"2021-03-02_to_2023-01-13_TSX60_Index","-","-"
"Alpha Stat",,
"2021-03-02_to_2023-01-13_Index_7QRank","0.88","0.26"
"2021-03-02_to_2023-01-13_TSX60_Index","-","-"
"Beta Stat",,
"2021-03-02_to_2023-01-13_Index_7QRank","1.07","0.99"
"2021-03-02_to_2023-01-13_TSX60_Index","-","-"
"R-Squared",,
"2021-03-02_to_2023-01-13_Index_7QRank","84.45","81.51"
"2021-03-02_to_2023-01-13_TSX60_Index","-","-"
"Max Drawdown",,
"2021-03-02_to_2023-01-13_Index_7QRank","-18.2924","-18.2924"
"2021-03-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766"
