"","1 Years","2 Years","3 Years","2019-05-2023-01"
"Annualized Returns",,,,
"2019-05-02_to_2023-01-13_Index_7QRank","-6.167","2.406","3.793","5.826"
"2019-05-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","5.828"
"Volatility",,,,
"2019-05-02_to_2023-01-13_Index_7QRank","18.82","14.89","19.34","17.75"
"2019-05-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","15.71"
"Tracking Error",,,,
"2019-05-02_to_2023-01-13_Index_7QRank","6.46","6.58","9.27","8.86"
"2019-05-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Information Ratio",,,,
"2019-05-02_to_2023-01-13_Index_7QRank","0.05","-0.64","-0.2","0"
"2019-05-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Alpha Stat",,,,
"2019-05-02_to_2023-01-13_Index_7QRank","0.13","-0.43","-0.22","-0.04"
"2019-05-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Beta Stat",,,,
"2019-05-02_to_2023-01-13_Index_7QRank","1.06","0.99","0.98","0.98"
"2019-05-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"R-Squared",,,,
"2019-05-02_to_2023-01-13_Index_7QRank","87.27","79.57","76.38","74.53"
"2019-05-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Max Drawdown",,,,
"2019-05-02_to_2023-01-13_Index_7QRank","-23.2744","-23.2744","-33.2159","-33.2159"
"2019-05-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265"
