"","2023-01-2022-01","2021-09-2023-01"
"Annualized Returns",,
"2021-09-02_to_2023-01-13_Index_7QRank","-0.663","1.895"
"2021-09-02_to_2023-01-13_TSX60_Index","-6.482","-1.711"
"Volatility",,
"2021-09-02_to_2023-01-13_Index_7QRank","18.86","16.92"
"2021-09-02_to_2023-01-13_TSX60_Index","16.64","15.33"
"Tracking Error",,
"2021-09-02_to_2023-01-13_Index_7QRank","5.89","5.54"
"2021-09-02_to_2023-01-13_TSX60_Index","-","-"
"Information Ratio",,
"2021-09-02_to_2023-01-13_Index_7QRank","0.99","0.65"
"2021-09-02_to_2023-01-13_TSX60_Index","-","-"
"Alpha Stat",,
"2021-09-02_to_2023-01-13_Index_7QRank","0.84","0.42"
"2021-09-02_to_2023-01-13_TSX60_Index","-","-"
"Beta Stat",,
"2021-09-02_to_2023-01-13_Index_7QRank","1.08","1.04"
"2021-09-02_to_2023-01-13_TSX60_Index","-","-"
"R-Squared",,
"2021-09-02_to_2023-01-13_Index_7QRank","89.7","88.62"
"2021-09-02_to_2023-01-13_TSX60_Index","-","-"
"Max Drawdown",,
"2021-09-02_to_2023-01-13_Index_7QRank","-18.8767","-18.8767"
"2021-09-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766"
