"","2023-01-2022-01","2021-02-2023-01"
"Annualized Returns",,
"2021-02-02_to_2023-01-13_Index_7QRank","1.988","13.857"
"2021-02-02_to_2023-01-13_TSX60_Index","-6.482","7.364"
"Volatility",,
"2021-02-02_to_2023-01-13_Index_7QRank","20.66","15.81"
"2021-02-02_to_2023-01-13_TSX60_Index","16.64","13.44"
"Tracking Error",,
"2021-02-02_to_2023-01-13_Index_7QRank","9.46","7.34"
"2021-02-02_to_2023-01-13_TSX60_Index","-","-"
"Information Ratio",,
"2021-02-02_to_2023-01-13_Index_7QRank","0.9","0.88"
"2021-02-02_to_2023-01-13_TSX60_Index","-","-"
"Alpha Stat",,
"2021-02-02_to_2023-01-13_Index_7QRank","0.88","0.5"
"2021-02-02_to_2023-01-13_TSX60_Index","-","-"
"Beta Stat",,
"2021-02-02_to_2023-01-13_Index_7QRank","1.11","1.04"
"2021-02-02_to_2023-01-13_TSX60_Index","-","-"
"R-Squared",,
"2021-02-02_to_2023-01-13_Index_7QRank","77.54","77.51"
"2021-02-02_to_2023-01-13_TSX60_Index","-","-"
"Max Drawdown",,
"2021-02-02_to_2023-01-13_Index_7QRank","-19.3019","-19.3019"
"2021-02-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766"
