"","1 Years","2 Years","3 Years","2019-03-2023-01"
"Annualized Returns",,,,
"2019-03-02_to_2023-01-13_Index_7QRank","-6.567","3.882","5.976","8.238"
"2019-03-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","6.417"
"Volatility",,,,
"2019-03-02_to_2023-01-13_Index_7QRank","17.72","14.25","18.21","16.43"
"2019-03-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","15.56"
"Tracking Error",,,,
"2019-03-02_to_2023-01-13_Index_7QRank","4.46","5.12","8.26","7.88"
"2019-03-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Information Ratio",,,,
"2019-03-02_to_2023-01-13_Index_7QRank","-0.02","-0.53","0.04","0.23"
"2019-03-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Alpha Stat",,,,
"2019-03-02_to_2023-01-13_Index_7QRank","0.05","-0.31","-0.01","0.13"
"2019-03-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Beta Stat",,,,
"2019-03-02_to_2023-01-13_Index_7QRank","1.03","0.99","0.94","0.93"
"2019-03-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"R-Squared",,,,
"2019-03-02_to_2023-01-13_Index_7QRank","93.07","86.5","79.16","76.91"
"2019-03-02_to_2023-01-13_TSX60_Index","-","-","-","-"
"Max Drawdown",,,,
"2019-03-02_to_2023-01-13_Index_7QRank","-21.5202","-21.5202","-31.6205","-31.6205"
"2019-03-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265"
