"","2023-01-2022-01","2021-08-2023-01"
"Annualized Returns",,
"2021-08-02_to_2023-01-13_Index_7QRank","-0.556","2.22"
"2021-08-02_to_2023-01-13_TSX60_Index","-6.482","-0.379"
"Volatility",,
"2021-08-02_to_2023-01-13_Index_7QRank","18.45","16.22"
"2021-08-02_to_2023-01-13_TSX60_Index","16.64","14.93"
"Tracking Error",,
"2021-08-02_to_2023-01-13_Index_7QRank","5.15","4.75"
"2021-08-02_to_2023-01-13_TSX60_Index","-","-"
"Information Ratio",,
"2021-08-02_to_2023-01-13_Index_7QRank","1.15","0.55"
"2021-08-02_to_2023-01-13_TSX60_Index","-","-"
"Alpha Stat",,
"2021-08-02_to_2023-01-13_Index_7QRank","0.77","0.33"
"2021-08-02_to_2023-01-13_TSX60_Index","-","-"
"Beta Stat",,
"2021-08-02_to_2023-01-13_Index_7QRank","1.07","1.04"
"2021-08-02_to_2023-01-13_TSX60_Index","-","-"
"R-Squared",,
"2021-08-02_to_2023-01-13_Index_7QRank","91.75","90.97"
"2021-08-02_to_2023-01-13_TSX60_Index","-","-"
"Max Drawdown",,
"2021-08-02_to_2023-01-13_Index_7QRank","-17.5305","-17.5305"
"2021-08-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766"
