"","1 Years","2 Years","3 Years","5 Years","2017-05-2023-01"
"Annualized Returns",,,,,
"2017-05-02_to_2023-01-13_Index_7QRank","2.512","13.765","15.244","13.452","14.373"
"2017-05-02_to_2023-01-13_TSX60_Index","-6.482","6.606","5.686","4.679","5.002"
"Volatility",,,,,
"2017-05-02_to_2023-01-13_Index_7QRank","23.15","17.45","22.2","19.42","18.36"
"2017-05-02_to_2023-01-13_TSX60_Index","16.64","13.46","17.29","14.87","14.08"
"Tracking Error",,,,,
"2017-05-02_to_2023-01-13_Index_7QRank","10.26","8.28","8.42","7.62","7.42"
"2017-05-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Information Ratio",,,,,
"2017-05-02_to_2023-01-13_Index_7QRank","0.88","0.86","1.14","1.15","1.26"
"2017-05-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Alpha Stat",,,,,
"2017-05-02_to_2023-01-13_Index_7QRank","1.24","0.51","0.7","0.66","0.67"
"2017-05-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Beta Stat",,,,,
"2017-05-02_to_2023-01-13_Index_7QRank","1.28","1.15","1.21","1.22","1.21"
"2017-05-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"R-Squared",,,,,
"2017-05-02_to_2023-01-13_Index_7QRank","82.61","77.84","87.82","87.27","86.12"
"2017-05-02_to_2023-01-13_TSX60_Index","-","-","-","-","-"
"Max Drawdown",,,,,
"2017-05-02_to_2023-01-13_Index_7QRank","-21.8451","-21.8451","-36.8533","-36.8533","-36.8533"
"2017-05-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766","-35.7265","-35.7265","-35.7265"
