"","2023-01-2022-01","2021-12-2023-01"
"Annualized Returns",,
"2021-12-02_to_2023-01-13_Index_7QRank","-1.372","2.444"
"2021-12-02_to_2023-01-13_TSX60_Index","-6.482","-2.992"
"Volatility",,
"2021-12-02_to_2023-01-13_Index_7QRank","17.84","17.02"
"2021-12-02_to_2023-01-13_TSX60_Index","16.64","15.87"
"Tracking Error",,
"2021-12-02_to_2023-01-13_Index_7QRank","5.25","5.01"
"2021-12-02_to_2023-01-13_TSX60_Index","-","-"
"Information Ratio",,
"2021-12-02_to_2023-01-13_Index_7QRank","0.97","1.09"
"2021-12-02_to_2023-01-13_TSX60_Index","-","-"
"Alpha Stat",,
"2021-12-02_to_2023-01-13_Index_7QRank","0.57","0.58"
"2021-12-02_to_2023-01-13_TSX60_Index","-","-"
"Beta Stat",,
"2021-12-02_to_2023-01-13_Index_7QRank","1.03","1.03"
"2021-12-02_to_2023-01-13_TSX60_Index","-","-"
"R-Squared",,
"2021-12-02_to_2023-01-13_Index_7QRank","90.44","90.54"
"2021-12-02_to_2023-01-13_TSX60_Index","-","-"
"Max Drawdown",,
"2021-12-02_to_2023-01-13_Index_7QRank","-19.0002","-19.0002"
"2021-12-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766"
