"","2023-01-2022-01","2021-10-2023-01"
"Annualized Returns",,
"2021-10-02_to_2023-01-13_Index_7QRank","-4.687","0.405"
"2021-10-02_to_2023-01-13_TSX60_Index","-6.482","0.793"
"Volatility",,
"2021-10-02_to_2023-01-13_Index_7QRank","17.18","15.52"
"2021-10-02_to_2023-01-13_TSX60_Index","16.64","15.03"
"Tracking Error",,
"2021-10-02_to_2023-01-13_Index_7QRank","5.14","4.89"
"2021-10-02_to_2023-01-13_TSX60_Index","-","-"
"Information Ratio",,
"2021-10-02_to_2023-01-13_Index_7QRank","0.35","-0.08"
"2021-10-02_to_2023-01-13_TSX60_Index","-","-"
"Alpha Stat",,
"2021-10-02_to_2023-01-13_Index_7QRank","0.35","0.09"
"2021-10-02_to_2023-01-13_TSX60_Index","-","-"
"Beta Stat",,
"2021-10-02_to_2023-01-13_Index_7QRank","0.99","0.98"
"2021-10-02_to_2023-01-13_TSX60_Index","-","-"
"R-Squared",,
"2021-10-02_to_2023-01-13_Index_7QRank","90.09","89.28"
"2021-10-02_to_2023-01-13_TSX60_Index","-","-"
"Max Drawdown",,
"2021-10-02_to_2023-01-13_Index_7QRank","-20.0494","-20.0494"
"2021-10-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766"
