"","2023-01-2022-01","2021-07-2023-01"
"Annualized Returns",,
"2021-07-02_to_2023-01-13_Index_7QRank","-4.787","-2.656"
"2021-07-02_to_2023-01-13_TSX60_Index","-6.482","0.196"
"Volatility",,
"2021-07-02_to_2023-01-13_Index_7QRank","17.23","14.68"
"2021-07-02_to_2023-01-13_TSX60_Index","16.64","14.51"
"Tracking Error",,
"2021-07-02_to_2023-01-13_Index_7QRank","4.63","4.37"
"2021-07-02_to_2023-01-13_TSX60_Index","-","-"
"Information Ratio",,
"2021-07-02_to_2023-01-13_Index_7QRank","0.37","-0.65"
"2021-07-02_to_2023-01-13_TSX60_Index","-","-"
"Alpha Stat",,
"2021-07-02_to_2023-01-13_Index_7QRank","0.23","-0.21"
"2021-07-02_to_2023-01-13_TSX60_Index","-","-"
"Beta Stat",,
"2021-07-02_to_2023-01-13_Index_7QRank","1","0.97"
"2021-07-02_to_2023-01-13_TSX60_Index","-","-"
"R-Squared",,
"2021-07-02_to_2023-01-13_Index_7QRank","91.99","90.65"
"2021-07-02_to_2023-01-13_TSX60_Index","-","-"
"Max Drawdown",,
"2021-07-02_to_2023-01-13_Index_7QRank","-20.1791","-20.1791"
"2021-07-02_to_2023-01-13_TSX60_Index","-17.7766","-17.7766"
