"Date","BTC.USD","SOL.USD","BCH.USD","MATIC.USD","ALGO.USD","LINK.USD","ETH.USD","LTC.USD","ADA.USD","AVAX.USD"
"2014-09-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-09-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-09-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-09-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-09-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-09-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-09-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-09-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-09-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-09-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-09-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-09-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-09-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-10-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-10-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-10-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-10-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-10-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-10-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-10-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-10-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-10-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-10-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-10-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-10-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-10-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-10-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-10-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-10-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-10-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-10-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-10-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-10-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-10-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-10-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-10-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-10-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-10-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-10-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-10-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-10-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-10-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-10-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-10-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-11-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-11-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-11-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-11-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-11-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-11-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-11-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-11-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-11-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-11-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-11-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-11-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-11-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-11-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-11-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-11-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-11-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-11-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-11-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-11-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-11-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-11-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-11-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-11-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-11-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-11-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-11-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-11-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-11-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-12-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-12-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-12-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-12-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-12-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-12-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-12-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-12-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
